Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOAI211HDV2, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOAI211HDV4, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI211HDV0, Area: 1.680000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI211HDV1, Area: 1.680000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI211HDV2, Area: 1.680000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI211HDV4, Area: 3.080000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI21HDV0, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI21HDV1, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI21HDV2, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI21HDV4, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI221HDV0, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI221HDV1, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI221HDV2, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI221HDV4, Area: 4.200000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI222HDV0, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI222HDV1, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI222HDV2, Area: 2.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI222HDV4, Area: 5.040000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI22HDV0, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI22HDV1, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI22HDV2, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI22HDV4, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI31HDV0, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI31HDV1, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI31HDV2, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI31HDV4, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI32HDV0, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI32HDV1, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI32HDV2, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI32HDV4, Area: 3.920000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI33HDV0, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI33HDV1, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI33HDV2, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_AOI33HDV4, Area: 4.760000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV0, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV1, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV12, Area: 3.640000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV16, Area: 4.200000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV2, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV20, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV24, Area: 6.440000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV3, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV32, Area: 8.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV4, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV40, Area: 10.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV48, Area: 12.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV6, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_BUFHDV8, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CKMUX2HDV0, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CKMUX2HDV1, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CKMUX2HDV2, Area: 3.640000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CKMUX2HDV4, Area: 3.920000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKAND2HDV0, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKAND2HDV1, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKAND2HDV2, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKAND2HDV4, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV0, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV1, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV12, Area: 3.360000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV16, Area: 4.200000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV2, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV20, Area: 5.040000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV24, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV3, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV32, Area: 8.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV4, Area: 1.400000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV40, Area: 9.800000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV48, Area: 11.200000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV6, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKBUFHDV8, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV0, Area: 6.160000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV1, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV2, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV3, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV4, Area: 7.000000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV6, Area: 7.280000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHAQHDV8, Area: 7.560000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV0, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV1, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV2, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV3, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV4, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV6, Area: 6.440000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLAHQHDV8, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV0, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV1, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV2, Area: 5.600000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV3, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV4, Area: 5.880000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV6, Area: 6.440000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANAQHDV8, Area: 7.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV0, Area: 5.040000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV1, Area: 5.040000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV2, Area: 5.040000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV3, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV4, Area: 5.320000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV6, Area: 6.440000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKLANQHDV8, Area: 6.720000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNAND2HDV0, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNAND2HDV1, Area: 1.120000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNAND2HDV2, Area: 1.680000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNAND2HDV4, Area: 1.960000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV0, Area: 0.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV1, Area: 0.840000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV10, Area: 2.240000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV12, Area: 2.520000
Cell: scc65nll_hd_lvt_tt_v1p0_25c_ecsm/LVT_CLKNHDV16, Area: 3.360000
